"Detail Url","File 1","Confidence","File 2","Confidence","Number of Matched Lines"
"http://moss.stanford.edu/results/781444417/match70.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","29","./data/harasaki_5a1e11cb302b66fc0b8b.html","44","13"
"http://moss.stanford.edu/results/781444417/match71.html","./data/fabid_0c4cf357ab5ed3e90382.html","16","./data/sdbernard_2e44bd82c9d048b88451.html","3","17"
"http://moss.stanford.edu/results/781444417/match72.html","./data/ChristosT_d703765494271f534fcc.html","14","./data/WilliamQLiu_803b712a4d6efbf7bdb4.html","8","22"
"http://moss.stanford.edu/results/781444417/match73.html","./data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","44","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","25","11"
"http://moss.stanford.edu/results/781444417/match74.html","./data/harasaki_5a1e11cb302b66fc0b8b.html","40","./data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","44","11"
"http://moss.stanford.edu/results/781444417/match75.html","./data/diskmanti_bc208f5266e4ffd5484a.html","44","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","25","11"
"http://moss.stanford.edu/results/781444417/match76.html","./data/diskmanti_bc208f5266e4ffd5484a.html","44","./data/harasaki_5a1e11cb302b66fc0b8b.html","40","11"
"http://moss.stanford.edu/results/781444417/match77.html","./data/balajikvijayan_1412be68265ae0315cb5.html","12","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","25","11"
"http://moss.stanford.edu/results/781444417/match78.html","./data/balajikvijayan_1412be68265ae0315cb5.html","12","./data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","44","11"
"http://moss.stanford.edu/results/781444417/match79.html","./data/balajikvijayan_1412be68265ae0315cb5.html","12","./data/harasaki_5a1e11cb302b66fc0b8b.html","40","11"
"http://moss.stanford.edu/results/781444417/match80.html","./data/balajikvijayan_1412be68265ae0315cb5.html","12","./data/diskmanti_bc208f5266e4ffd5484a.html","44","11"
"http://moss.stanford.edu/results/781444417/match81.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","27","./data/balajikvijayan_1412be68265ae0315cb5.html","12","11"
"http://moss.stanford.edu/results/781444417/match82.html","./data/Rico3734_3a387f8041e1dc31d718.html","44","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","25","11"
"http://moss.stanford.edu/results/781444417/match83.html","./data/Rico3734_3a387f8041e1dc31d718.html","44","./data/harasaki_5a1e11cb302b66fc0b8b.html","40","11"
"http://moss.stanford.edu/results/781444417/match84.html","./data/Rico3734_3a387f8041e1dc31d718.html","44","./data/balajikvijayan_1412be68265ae0315cb5.html","12","11"
"http://moss.stanford.edu/results/781444417/match85.html","./data/GerHobbelt_3683278.html","4","./data/john-guerra_14c943d8f198d9f3fef2.html","13","13"
"http://moss.stanford.edu/results/781444417/match86.html","./data/GerHobbelt_3669455.html","4","./data/john-guerra_14c943d8f198d9f3fef2.html","13","13"
"http://moss.stanford.edu/results/781444417/match87.html","./data/fabid_0c4cf357ab5ed3e90382.html","13","./data/harasaki_5a1e11cb302b66fc0b8b.html","34","10"
"http://moss.stanford.edu/results/781444417/match88.html","./data/mbostock_3305937.html","13","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","20","5"
"http://moss.stanford.edu/results/781444417/match89.html","./data/anatolyg_25fa3e51da9a1ac22e02.html","22","./data/mbostock_3305937.html","13","5"
"http://moss.stanford.edu/results/781444417/match90.html","./data/Rico3734_fa14dff4959ccb0886a9.html","22","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","20","5"
"http://moss.stanford.edu/results/781444417/match91.html","./data/Rico3734_fa14dff4959ccb0886a9.html","22","./data/dmijalkovic_52fb07194d4b2988cafb.html","8","7"
"http://moss.stanford.edu/results/781444417/match92.html","./data/Rico3734_fa14dff4959ccb0886a9.html","22","./data/anatolyg_25fa3e51da9a1ac22e02.html","22","5"
"http://moss.stanford.edu/results/781444417/match93.html","./data/Rico3734_2d06a6aadbb4af3398ba.html","21","./data/yassineAlouini_fdbca6ea6f4416e6b328.html","20","5"
"http://moss.stanford.edu/results/781444417/match94.html","./data/Rico3734_2d06a6aadbb4af3398ba.html","21","./data/dmijalkovic_52fb07194d4b2988cafb.html","8","7"
"http://moss.stanford.edu/results/781444417/match95.html","./data/Rico3734_2d06a6aadbb4af3398ba.html","21","./data/anatolyg_25fa3e51da9a1ac22e02.html","22","5"
"http://moss.stanford.edu/results/781444417/match96.html","./data/jalapic_528b427834c7004dba89.html","11","./data/milroc_5480231.html","0","16"
"http://moss.stanford.edu/results/781444417/match97.html","./data/emeeks_d25690581801fc0c1cfd.html","13","./data/milroc_5480231.html","0","16"
"http://moss.stanford.edu/results/781444417/match98.html","./data/cool-Blue_04ebde07750d6fdd5d1a.html","0","./data/jalapic_528b427834c7004dba89.html","11","16"
"http://moss.stanford.edu/results/781444417/match99.html","./data/cool-Blue_04ebde07750d6fdd5d1a.html","0","./data/emeeks_d25690581801fc0c1cfd.html","13","16"
"http://moss.stanford.edu/results/781444417/match100.html","./data/GerHobbelt_3637711.html","0","./data/jalapic_528b427834c7004dba89.html","11","16"
"http://moss.stanford.edu/results/781444417/match101.html","./data/GerHobbelt_3637711.html","0","./data/emeeks_d25690581801fc0c1cfd.html","13","16"
"http://moss.stanford.edu/results/781444417/match102.html","./data/GerHobbelt_3616279.html","0","./data/jalapic_528b427834c7004dba89.html","11","16"
"http://moss.stanford.edu/results/781444417/match103.html","./data/GerHobbelt_3616279.html","0","./data/emeeks_d25690581801fc0c1cfd.html","13","16"
"http://moss.stanford.edu/results/781444417/match104.html","./data/fabid_0c4cf357ab5ed3e90382.html","11","./data/serouvivek_6dd7b5b74b81badaebe3397dddf74260.html","33","8"
"http://moss.stanford.edu/results/781444417/match105.html","./data/diskmanti_bc208f5266e4ffd5484a.html","33","./data/fabid_0c4cf357ab5ed3e90382.html","11","8"
"http://moss.stanford.edu/results/781444417/match106.html","./data/balajikvijayan_1412be68265ae0315cb5.html","9","./data/fabid_0c4cf357ab5ed3e90382.html","11","8"
"http://moss.stanford.edu/results/781444417/match107.html","./data/Rico3734_3a387f8041e1dc31d718.html","33","./data/fabid_0c4cf357ab5ed3e90382.html","11","8"
"http://moss.stanford.edu/results/781444417/match108.html","./data/abhishekpolavarapu_a36a5c86ea905ac72229.html","26","./data/harasaki_460aaba1843db30e222b.html","17","16"
